step,UCB1-tuned,Tompson_sampling,RS,RS \gamma,RS opt \gamma
18501.0,0.471,0.554,0.795,0.842,0.872
18601.0,0.47,0.556,0.794,0.839,0.88
18701.0,0.474,0.561,0.795,0.84,0.884
18801.0,0.473,0.559,0.796,0.84,0.877
18901.0,0.468,0.556,0.792,0.843,0.877
19001.0,0.468,0.56,0.789,0.833,0.875
19101.0,0.471,0.557,0.795,0.831,0.883
19201.0,0.475,0.554,0.787,0.836,0.875
19301.0,0.475,0.561,0.785,0.836,0.877
19401.0,0.476,0.563,0.789,0.834,0.885
19501.0,0.478,0.558,0.789,0.841,0.886
19601.0,0.47,0.559,0.789,0.835,0.885
19701.0,0.477,0.555,0.793,0.844,0.887
19801.0,0.483,0.559,0.792,0.837,0.896
19901.0,0.471,0.558,0.798,0.846,0.894
20001.0,0.468,0.559,0.799,0.848,0.893
20101.0,0.471,0.56,0.791,0.846,0.881
20201.0,0.486,0.551,0.788,0.83,0.881
20301.0,0.483,0.556,0.783,0.842,0.883
20401.0,0.475,0.557,0.784,0.842,0.879
20501.0,0.469,0.553,0.788,0.847,0.881
20601.0,0.479,0.555,0.785,0.836,0.88
20701.0,0.482,0.552,0.777,0.846,0.867
20801.0,0.482,0.546,0.772,0.846,0.873
20901.0,0.468,0.553,0.772,0.843,0.876
21001.0,0.464,0.543,0.77,0.834,0.87
21101.0,0.466,0.553,0.776,0.832,0.87
21201.0,0.475,0.558,0.78,0.846,0.873
21301.0,0.466,0.553,0.774,0.844,0.872
21401.0,0.471,0.547,0.772,0.846,0.87
21501.0,0.473,0.547,0.766,0.835,0.872
21601.0,0.465,0.542,0.767,0.843,0.867
21701.0,0.464,0.534,0.767,0.833,0.873
21801.0,0.452,0.527,0.767,0.83,0.861
21901.0,0.46,0.529,0.766,0.818,0.87
22001.0,0.461,0.532,0.757,0.822,0.873
22101.0,0.457,0.528,0.764,0.822,0.868
22201.0,0.462,0.52,0.763,0.836,0.869
22301.0,0.456,0.528,0.762,0.837,0.869
22401.0,0.453,0.53,0.759,0.829,0.879
22501.0,0.457,0.525,0.764,0.833,0.879
22601.0,0.451,0.528,0.766,0.837,0.876
22701.0,0.455,0.522,0.767,0.837,0.89
22801.0,0.453,0.513,0.77,0.829,0.886
22901.0,0.444,0.513,0.771,0.832,0.884
23001.0,0.455,0.512,0.772,0.818,0.88
23101.0,0.46,0.509,0.771,0.831,0.878
23201.0,0.452,0.512,0.77,0.829,0.869
23301.0,0.456,0.51,0.767,0.817,0.865
23401.0,0.448,0.506,0.77,0.814,0.86
23501.0,0.451,0.512,0.764,0.808,0.873
23601.0,0.445,0.512,0.774,0.817,0.865
23701.0,0.443,0.517,0.774,0.826,0.879
23801.0,0.452,0.516,0.775,0.816,0.892
23901.0,0.453,0.519,0.772,0.825,0.892
24001.0,0.451,0.518,0.776,0.831,0.893
24101.0,0.442,0.51,0.781,0.831,0.895
24201.0,0.443,0.509,0.776,0.845,0.904
24301.0,0.43,0.514,0.785,0.837,0.901
24401.0,0.438,0.518,0.782,0.845,0.898
24501.0,0.435,0.517,0.786,0.843,0.9
24601.0,0.438,0.519,0.788,0.839,0.9
24701.0,0.435,0.51,0.794,0.836,0.905
24801.0,0.433,0.512,0.794,0.849,0.9
24901.0,0.431,0.515,0.79,0.846,0.898
25001.0,0.428,0.508,0.791,0.828,0.894
25101.0,0.437,0.506,0.79,0.833,0.884
25201.0,0.424,0.506,0.795,0.821,0.893
25301.0,0.431,0.509,0.793,0.828,0.896
25401.0,0.436,0.51,0.793,0.833,0.893
25501.0,0.431,0.512,0.795,0.831,0.887
25601.0,0.429,0.505,0.797,0.831,0.893
25701.0,0.429,0.506,0.802,0.827,0.905
25801.0,0.427,0.506,0.802,0.829,0.888
25901.0,0.43,0.51,0.795,0.827,0.891
26001.0,0.425,0.507,0.798,0.816,0.886
26101.0,0.43,0.501,0.792,0.816,0.887
26201.0,0.417,0.501,0.791,0.823,0.886
