step,UCB1-tuned,Tompson_sampling,RS,RS \gamma,RS opt \gamma
22401.0,0.338,0.242,0.663,0.791,0.886
22501.0,0.338,0.256,0.668,0.786,0.891
22601.0,0.337,0.273,0.684,0.795,0.893
22701.0,0.341,0.278,0.684,0.796,0.897
22801.0,0.339,0.289,0.683,0.798,0.9
22901.0,0.337,0.297,0.688,0.807,0.905
23001.0,0.336,0.299,0.697,0.795,0.913
23101.0,0.337,0.313,0.699,0.807,0.91
23201.0,0.335,0.324,0.7,0.808,0.896
23301.0,0.345,0.331,0.716,0.808,0.901
23401.0,0.35,0.346,0.722,0.812,0.913
23501.0,0.346,0.35,0.725,0.808,0.91
23601.0,0.345,0.364,0.73,0.811,0.905
23701.0,0.351,0.371,0.731,0.808,0.906
23801.0,0.358,0.376,0.734,0.816,0.901
23901.0,0.36,0.376,0.741,0.806,0.914
24001.0,0.349,0.395,0.751,0.82,0.92
24101.0,0.352,0.396,0.752,0.819,0.91
24201.0,0.357,0.405,0.75,0.819,0.916
24301.0,0.358,0.409,0.76,0.83,0.908
24401.0,0.36,0.412,0.767,0.82,0.908
24501.0,0.351,0.417,0.775,0.818,0.909
24601.0,0.355,0.428,0.774,0.818,0.902
24701.0,0.364,0.428,0.775,0.82,0.905
24801.0,0.36,0.436,0.776,0.823,0.905
24901.0,0.361,0.443,0.779,0.827,0.904
25001.0,0.357,0.45,0.786,0.827,0.901
25101.0,0.364,0.449,0.789,0.835,0.899
25201.0,0.364,0.453,0.796,0.833,0.897
25301.0,0.361,0.456,0.797,0.827,0.895
25401.0,0.368,0.463,0.795,0.822,0.903
25501.0,0.367,0.466,0.796,0.814,0.907
25601.0,0.362,0.472,0.802,0.818,0.904
25701.0,0.359,0.476,0.801,0.827,0.905
25801.0,0.368,0.477,0.808,0.833,0.908
25901.0,0.367,0.478,0.815,0.824,0.907
26001.0,0.368,0.493,0.817,0.826,0.904
26101.0,0.364,0.486,0.819,0.827,0.907
26201.0,0.376,0.494,0.82,0.826,0.909
26301.0,0.374,0.496,0.823,0.833,0.914
26401.0,0.37,0.499,0.826,0.83,0.909
26501.0,0.376,0.504,0.825,0.834,0.916
26601.0,0.366,0.502,0.825,0.844,0.913
26701.0,0.368,0.507,0.832,0.839,0.916
26801.0,0.37,0.507,0.83,0.835,0.911
26901.0,0.377,0.508,0.835,0.837,0.906
27001.0,0.368,0.513,0.834,0.84,0.91
27101.0,0.367,0.526,0.838,0.846,0.901
27201.0,0.377,0.519,0.84,0.839,0.9
27301.0,0.371,0.527,0.841,0.845,0.901
27401.0,0.372,0.523,0.844,0.85,0.902
27501.0,0.378,0.526,0.842,0.856,0.899
27601.0,0.379,0.525,0.844,0.851,0.902
27701.0,0.372,0.524,0.845,0.843,0.901
27801.0,0.374,0.53,0.843,0.852,0.896
27901.0,0.372,0.531,0.847,0.851,0.908
28001.0,0.372,0.534,0.844,0.853,0.908
28101.0,0.376,0.54,0.844,0.85,0.902
28201.0,0.373,0.54,0.846,0.86,0.903
28301.0,0.377,0.537,0.845,0.859,0.889
28401.0,0.376,0.545,0.846,0.852,0.896
28501.0,0.379,0.549,0.849,0.857,0.898
28601.0,0.375,0.552,0.848,0.857,0.897
28701.0,0.383,0.551,0.85,0.865,0.9
28801.0,0.377,0.552,0.853,0.862,0.903
28901.0,0.385,0.556,0.852,0.852,0.9
29001.0,0.383,0.555,0.855,0.857,0.908
29101.0,0.383,0.557,0.858,0.867,0.901
29201.0,0.386,0.56,0.858,0.863,0.904
29301.0,0.388,0.562,0.86,0.857,0.912
29401.0,0.383,0.563,0.862,0.872,0.899
29501.0,0.388,0.561,0.861,0.868,0.894
29601.0,0.39,0.565,0.863,0.876,0.905
29701.0,0.392,0.568,0.863,0.875,0.897
29801.0,0.393,0.57,0.866,0.879,0.904
29901.0,0.395,0.577,0.865,0.879,0.914
30001.0,0.048,0.056,0.051,0.045,0.037
30101.0,0.13,0.058,0.197,0.371,0.319
30201.0,0.154,0.061,0.242,0.47,0.494
30301.0,0.168,0.063,0.286,0.551,0.611
30401.0,0.182,0.066,0.313,0.579,0.675
30501.0,0.197,0.069,0.339,0.624,0.724
30601.0,0.213,0.078,0.362,0.65,0.759
30701.0,0.225,0.086,0.385,0.663,0.793
30801.0,0.228,0.091,0.407,0.699,0.798
30901.0,0.238,0.095,0.429,0.711,0.812
31001.0,0.243,0.097,0.459,0.711,0.83
31101.0,0.252,0.117,0.472,0.717,0.848
31201.0,0.259,0.114,0.487,0.741,0.848
31301.0,0.263,0.114,0.503,0.741,0.86
31401.0,0.276,0.121,0.524,0.754,0.86
31501.0,0.278,0.138,0.529,0.755,0.878
31601.0,0.278,0.137,0.542,0.762,0.865
31701.0,0.287,0.151,0.552,0.768,0.88
31801.0,0.285,0.16,0.562,0.769,0.888
31901.0,0.294,0.172,0.575,0.78,0.896
32001.0,0.291,0.176,0.581,0.794,0.89
32101.0,0.293,0.191,0.602,0.793,0.901
32201.0,0.303,0.199,0.605,0.784,0.901
32301.0,0.301,0.198,0.616,0.799,0.907
32401.0,0.304,0.208,0.625,0.804,0.893
32501.0,0.308,0.224,0.632,0.79,0.901
32601.0,0.313,0.235,0.643,0.795,0.905
32701.0,0.312,0.241,0.644,0.794,0.901
32801.0,0.318,0.246,0.649,0.789,0.897
32901.0,0.315,0.254,0.654,0.798,0.897
33001.0,0.316,0.259,0.658,0.805,0.902
33101.0,0.319,0.269,0.665,0.81,0.896
33201.0,0.322,0.275,0.668,0.816,0.909
33301.0,0.321,0.276,0.677,0.818,0.917
33401.0,0.318,0.287,0.686,0.827,0.91
33501.0,0.318,0.299,0.691,0.829,0.915
33601.0,0.323,0.303,0.697,0.832,0.914
33701.0,0.327,0.311,0.701,0.828,0.901
33801.0,0.326,0.308,0.703,0.831,0.908
33901.0,0.322,0.322,0.708,0.828,0.904
34001.0,0.32,0.324,0.706,0.827,0.908
34101.0,0.325,0.334,0.712,0.826,0.906
34201.0,0.335,0.338,0.719,0.835,0.909
34301.0,0.327,0.338,0.72,0.846,0.906
34401.0,0.335,0.344,0.723,0.836,0.904
34501.0,0.338,0.357,0.728,0.834,0.917
34601.0,0.341,0.358,0.727,0.837,0.919
34701.0,0.334,0.369,0.73,0.832,0.918
34801.0,0.338,0.367,0.735,0.844,0.924
34901.0,0.338,0.379,0.741,0.83,0.925
35001.0,0.34,0.378,0.746,0.835,0.914
35101.0,0.337,0.382,0.745,0.836,0.917
35201.0,0.338,0.39,0.748,0.841,0.921
35301.0,0.339,0.4,0.752,0.841,0.921
35401.0,0.338,0.398,0.751,0.846,0.921
35501.0,0.344,0.404,0.752,0.841,0.918
35601.0,0.34,0.408,0.753,0.844,0.914
35701.0,0.34,0.416,0.756,0.845,0.911
35801.0,0.347,0.415,0.761,0.842,0.919
35901.0,0.343,0.421,0.765,0.85,0.919
36001.0,0.346,0.424,0.765,0.846,0.919
36101.0,0.346,0.425,0.769,0.846,0.917
36201.0,0.345,0.431,0.765,0.839,0.928
36301.0,0.344,0.437,0.768,0.861,0.921
